,pt,datetime
0,2.508784722222222,2021-05-02
1,3.382673611111111,2021-05-03
2,4.070659722222222,2021-05-04
3,3.1495833333333336,2021-05-05
4,3.014722222222222,2021-05-06
5,3.4618402777777777,2021-05-07
6,2.3535416666666666,2021-05-08
7,2.517638888888889,2021-05-09
8,3.1584375,2021-05-10
9,2.6703472222222224,2021-05-11
10,2.2297222222222226,2021-05-12
11,2.1198263888888884,2021-05-13
12,2.1081944444444436,2021-05-14
13,2.3166666666666664,2021-05-15
14,2.2713194444444444,2021-05-16
15,3.4727083333333333,2021-05-17
16,3.5337152777777767,2021-05-18
17,3.5760069444444427,2021-05-19
18,3.6411805555555556,2021-05-20
19,4.423819444444444,2021-05-21
20,3.1628819444444436,2021-05-22
21,2.908333333333333,2021-05-23
22,4.861423611111111,2021-05-24
23,4.507847222222223,2021-05-25
24,2.9010416666666665,2021-05-26
25,4.458020833333333,2021-05-27
26,4.312291666666666,2021-05-28
27,2.7500694444444442,2021-05-29
28,2.6151388888888887,2021-05-30
29,4.824270833333334,2021-05-31
30,3.004965277777778,2021-06-01
31,5.239722222222222,2021-06-02
32,5.016770833333333,2021-06-03
33,6.344965277777777,2021-06-04
34,3.4502777777777776,2021-06-05
35,3.161180555555555,2021-06-06
36,4.750833333333333,2021-06-07
37,6.112465277777779,2021-06-08
38,5.068333333333334,2021-06-09
39,4.180381944444444,2021-06-10
40,4.130972222222222,2021-06-11
41,3.512395833333333,2021-06-12
42,2.7918749999999997,2021-06-13
43,3.5905555555555555,2021-06-14
44,3.176145833333333,2021-06-15
45,3.0539583333333336,2021-06-16
46,3.550555555555555,2021-06-17
47,3.3086458333333337,2021-06-18
48,2.5199999999999996,2021-06-19
49,1.9363541666666666,2021-06-20
50,1.8812152777777775,2021-06-21
51,3.399930555555555,2021-06-22
52,3.1183680555555555,2021-06-23
53,3.2357291666666668,2021-06-24
54,3.0576736111111114,2021-06-25
55,3.3134027777777777,2021-06-26
56,4.112847222222222,2021-06-27
57,4.328333333333334,2021-06-28
58,3.736111111111111,2021-06-29
59,3.1005902777777776,2021-06-30
60,3.508541666666666,2021-07-01
61,2.727152777777778,2021-07-02
62,2.729548611111111,2021-07-03
63,3.113368055555556,2021-07-04
64,3.4140625,2021-07-05
65,3.5740625,2021-07-06
66,5.0353125,2021-07-07
67,4.182604166666668,2021-07-08
68,4.428159722222223,2021-07-09
69,3.155173611111111,2021-07-10
70,2.7762847222222224,2021-07-11
71,4.206076388888889,2021-07-12
72,3.8819097222222214,2021-07-13
73,4.556562500000001,2021-07-14
74,4.698645833333333,2021-07-15
75,4.202951388888888,2021-07-16
76,3.240034722222223,2021-07-17
77,3.218541666666667,2021-07-18
78,5.243993055555556,2021-07-19
79,4.5420138888888895,2021-07-20
80,5.005381944444443,2021-07-21
81,3.953993055555555,2021-07-22
82,4.833958333333334,2021-07-23
83,3.064270833333333,2021-07-24
84,3.0302430555555566,2021-07-25
85,4.410208333333333,2021-07-26
86,3.212361111111111,2021-07-27
87,2.8610069444444446,2021-07-28
88,3.9870486111111116,2021-07-29
89,2.558854166666667,2021-07-30
90,2.51,2021-07-31
91,3.6442013888888893,2021-08-01
92,3.7066666666666657,2021-08-02
93,3.7965972222222217,2021-08-03
94,3.509479166666667,2021-08-04
95,2.876979166666667,2021-08-05
96,2.6380208333333335,2021-08-06
97,2.275729166666666,2021-08-07
98,3.830069444444445,2021-08-08
99,3.560520833333333,2021-08-09
100,2.9403125000000006,2021-08-10
101,1.126597222222222,2021-08-11
102,1.0712499999999998,2021-08-12
103,0.8432986111111109,2021-08-13
104,0.6175694444444444,2021-08-14
105,0.9430208333333332,2021-08-15
106,1.0172916666666665,2021-08-16
107,0.957951388888889,2021-08-17
108,0.9148958333333331,2021-08-18
109,0.9449305555555555,2021-08-19
110,0.6533333333333333,2021-08-20
111,0.6334375,2021-08-21
112,0.936909722222222,2021-08-22
113,1.043576388888889,2021-08-23
114,1.059548611111111,2021-08-24
115,0.8615625000000001,2021-08-25
116,1.2970833333333334,2021-08-26
117,0.8378819444444444,2021-08-27
118,1.2685416666666671,2021-08-28
119,1.1487152777777774,2021-08-29
120,0.9283333333333332,2021-08-30
121,0.6589930555555557,2021-08-31
122,0.6919097222222222,2021-09-01
123,1.0529166666666672,2021-09-02
124,1.0960069444444445,2021-09-03
125,1.1875000000000002,2021-09-04
126,1.2846527777777774,2021-09-05
127,1.1879166666666667,2021-09-06
128,0.8737500000000001,2021-09-07
129,0.9432291666666667,2021-09-08
130,1.4305208333333332,2021-09-09
131,1.4615625000000003,2021-09-10
132,1.1977430555555555,2021-09-11
133,1.4530208333333328,2021-09-12
134,1.3123263888888888,2021-09-13
135,0.9596180555555556,2021-09-14
136,1.0852083333333333,2021-09-15
137,1.5967708333333333,2021-09-16
138,1.3001041666666666,2021-09-17
139,0.923888888888889,2021-09-18
140,1.5855902777777775,2021-09-19
141,1.3458680555555553,2021-09-20
142,0.9547222222222224,2021-09-21
143,1.3061458333333331,2021-09-22
144,1.7990625,2021-09-23
145,1.7135763888888889,2021-09-24
146,1.7963194444444446,2021-09-25
147,1.7828124999999997,2021-09-26
148,1.9646180555555555,2021-09-27
149,1.4679861111111112,2021-09-28
150,1.6491319444444448,2021-09-29
151,1.5319444444444443,2021-09-30
152,1.4153819444444442,2021-10-01
153,1.2522916666666668,2021-10-02
154,1.3718750000000002,2021-10-03
155,1.256701388888889,2021-10-04
156,0.8384722222222222,2021-10-05
